o0900047	ABGAL	𒚫=|NUN~a.ME~a|	NUN~a ME~a
o0900047	ABGAL~v1	𒚬=|NUN~a+ME~a|	NUN~a ME~a ~1
o0900049	ABRIG	󳂭=|NUN~a.ME~a.DU|	NUN~a ME~a DU
o0900049	ABRIG~v1	𒚭=|DU.ME~a.NUN~a|	DU ME~a NUN~a
o0900106	ARARMA₂~a	𒛖=|U₄.AB~a|	U₄ AB~a
o0900108	ARARMA₂~b	|U₄.AB~b|	U₄ AB~b
o0900109	ARATTA	|3(N57).LAM~a.KUR~a.RU|	3(N57) LAM~a KUR~a RU
o0900508	E₃~a	|DU.U₄|	DU U₄
o0900533	ENDIB	|EN~a.ME~a.MU|	EN~a ME~a MU
o0900534	ENGIZ	|EN~a.ME~a.GI|	EN~a ME~a GI
o0900537	ENLIL	|EN~a.KID~a|	EN~a KID~a
o0900544	ERIM₂	|NE~a.RU|	NE~a RU
o0900841	GIBIL₆	|NE~a.GI|	NE~a GI
o0900905	GIZZAL~v	|GEŠTU~a.NAGA~a|	GEŠTU~a=12872 NAGA~a
o0900966	|HI×LAGAB~a|	|HI.LAGAB~a|	HI LAGAB~a
o0900997	ILDUM~a	|NAGAR~a&BU~a|	NAGAR~a BU~a
o0900998	ILDUM~b	|NAGAR~a&BU~a|	NAGAR~b BU~a
o0901016	IR₁₁	𒤈=|UŠ~a~v1.KUR~a|	UŠ~a~v1 KUR~a
o0901016	IR₁₁	|UŠ~a.KUR~a|	UŠ~a KUR~a
o0901071	KAR	|TE.A|	TE A
o0901109	KINGAL	|GAL~a.UKKIN~a|	GAL~a UKKIN~a
o0901109	KINGAL	𒥋=|GAL~a.UKKIN~a~v1|	GAL~a UKKIN~a~v1
o0901111	KIR₁₁	|SAL.SILA₄~c|	SAL SILA₄~c
o0901268	LAHTAN₂	|ŠITA~a1.MUD₃~a|	ŠITA~a1 MUD₃~a
o0901416	MURUB₂	|SAL.LAGAR~a|	SAL LAGAR~a
o0901472	NAMEŠDA	|EŠDA.NAM₂|	EŠDA NAM₂
o0901472	NAMEŠDA	𒨧=|EŠDA+NAM₂|	EŠDA NAM₂
o0901475	NANNA~a	𒨩=|URI₃~a~v1.NA~a|	URI₃~a~v1 NA~a
o0901475	NANNA~a	󳂞=|URI₃~a.NA~a|	URI₃~a NA~a
o0901475	NANNA~a	𒨪=|URI₃~a~v1&NA~a|	URI₃~a~v1 NA~a ~1
o0901477	NANNA~b	|ŠEŠ~a.NA~a|	ŠEŠ~a NA~a
o0901491	NERGAL~v	|GIR₃~c.AB~a|	GIR₃~c AB~a
o0901578	NINLIL	|E₂~a.NUN~a|	E₂~a NUN~a
o0901773	SIKIL	|SAL.SI|	SAL SI
o0901868	SIPA	|PA~a.UDU~a|	PA~a UDU~a
o0901868	SIPA	󳃃=|PA~a~v2.UDU~a|	PA~a UDU~a
o0901909	SUSA	|MUŠ₃~a.ERIN|	MUŠ₃~a ERIN
o0901926	ŠAB~a	𒭂=|PA~a∘IB~a~v1|	PA~a IB~a~v1
o0901926	ŠAB~a	𒭃=|PA~a.IB~a|	PA~a IB~a
o0901926	ŠAB~a	󳃆=|PA~a∘IB~a|	PA~a IB~a
o0901928	ŠAB~b	𒭄=|IB~a~v1∘PAP~a|	PAP~a IB~a~v2
o0901928	ŠAB~b~v1	𒭅=|PAP~a.IB~a|	PAP~a IB~a
o0901943	ŠANDANA~a	|GAL~a.NIM~a|	GAL~a NIM~a
o0901944	ŠANDANA~b	|GAL~a.NI~a|	GAL~a NI~a
o0902068	ŠURUPPAK~a	|KUR~a.RU|	KUR~a RU
o0902068	ŠURUPPAK~a	𒮣=|KUR~a.RU~v1|	KUR~a RU~v1
o0902070	ŠURUPPAK~b	|3(N57).RU|	3(N57) RU
o0902070	ŠURUPPAK~b	𒮥=|3(N57).RU~v1|	3(N57) RU~v1
o0902072	ŠURUPPAK~c	|SU~a.KUR~a.RU|	SU~a KUR~a RU
o0902108	TIDNUM	|GIR₃~c.PIRIG~b1|	GIR₃~c PIRIG~b1
o0902330	URI₂	|URI₃~a.UNUG~a|	URI₃~a UNUG~a
o0902336	|URI₃~a+IB~a|	|URI₃~a.IB~a|	URI₃~a IB~a
o0902334	URI₃~b	|URI₃~a.AB~a|	URI₃~a AB~a
o0902357	|URU~a1×1(N57)|	|1(N57).URU~a1|	1(N57) URU~a1
o0902359	|URU~a1×2(N57)|	|2(N57).URU~a1|	2(N57) URU~a1
o0902394	UŠUMGAL	|GAL~a.BUR₂|	GAL~a BUR₂
o0902418	ZABALAM~a	|MUŠ₃~a.AB~a|	MUŠ₃~a AB~a
o0902419	ZABALAM~b	|MUŠ₃~a.UNUG~a|	MUŠ₃~a UNUG~a
